target,display_name,mae,rmse,r2,absolute_error_q80,absolute_error_q90
total_calories,Calories (kcal),81.44001942491192,276.83481037910735,0.4233463075530004,105.56014748969729,168.9420784608503
total_protein,Protein (g),5.384094759831414,9.638013551904416,0.7556570233109468,8.347671279032511,14.419654327894715
total_carb,Carbohydrates (g),6.976944446730605,17.23046970425648,0.37784963380339065,9.845344081254833,15.3576
total_fat,Fat (g),4.902984936186616,24.73498106815497,0.3684750127523103,6.119492140984901,10.75677759583958
