rank,model,accuracy,macro_precision,weighted_precision,macro_recall,weighted_recall,macro_f1,weighted_f1,cv_macro_f1_mean,cv_macro_f1_std,cv_accuracy_mean,cv_accuracy_std,training_time_seconds,prediction_time_seconds,best_params
1,XGBoost,0.789308176100629,0.7859159770182242,0.7853869587326985,0.7907650611543935,0.789308176100629,0.7866657545808947,0.7856576054603347,0.7579256367998904,0.009148628014472455,0.761662590341345,0.010188434268094387,3.114670515060425,0.02081102500005727,"{""model__colsample_bytree"": 0.9, ""model__learning_rate"": 0.08, ""model__max_depth"": 5, ""model__n_estimators"": 250, ""model__subsample"": 0.9}"
2,Random Forest,0.7935010482180294,0.7911840957161836,0.790548985533858,0.794743340005687,0.7935010482180294,0.7922786407696364,0.7913342503355223,0.7545001177235752,0.013503583980539465,0.7579932095644007,0.012687618776166,1.0457022190093994,0.03923224300001493,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1}"
3,K-Nearest Neighbors,0.7861635220125787,0.7831848280802803,0.7825924298069427,0.7874618977421167,0.7861635220125787,0.7839800062493123,0.783024562448492,0.731964404117974,0.009881070932479707,0.7330860018644458,0.009329514821958124,0.18271541595458984,0.09911381099993832,"{""model__n_neighbors"": 7, ""model__weights"": ""distance""}"
4,Decision Tree,0.7547169811320755,0.7543868072781157,0.753469178322093,0.7555761101207095,0.7547169811320755,0.7546120556725526,0.7537270694316281,0.7274358148409074,0.008540469965391399,0.7288896227421114,0.008315419537193116,0.1918947696685791,0.015465769000002183,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1}"
5,Support Vector Machine,0.7473794549266247,0.7430352595945706,0.7423025449365711,0.7488600428211812,0.7473794549266247,0.7447387752511899,0.743621633741773,0.7083022058690533,0.02197672096024219,0.7144721588700496,0.01987765974110263,0.10492944717407227,0.016173072000015054,"{""model__C"": 2.0}"
6,Gradient Boosting,0.740041928721174,0.7430915852212353,0.7422813215239401,0.7415205368142382,0.740041928721174,0.7389524200377825,0.7378348605728674,0.7069469733380231,0.011654321946283618,0.7102716518233386,0.012257868964492716,6.087494134902954,0.018069564999905197,"{""model__learning_rate"": 0.1, ""model__max_depth"": 2, ""model__n_estimators"": 100}"
7,Logistic Regression,0.7285115303983228,0.7238797093830623,0.7230218540718006,0.7301138314804364,0.7285115303983228,0.7258384317425869,0.7245991462586143,0.6967424464626508,0.016609703247945265,0.7031932934988632,0.015608873550693214,0.08206462860107422,0.015283238000051824,"{""model__C"": 2.0}"
8,Multinomial Naive Bayes,0.709643605870021,0.7063381932013462,0.7054603100045586,0.7109072576029495,0.709643605870021,0.7079964497348322,0.706922965732441,0.6567154749793644,0.014110048986274612,0.662818065173046,0.013981776666203767,0.06533408164978027,0.015333036000015454,"{""model__alpha"": 0.25}"
